,biology,posterior_mean,q_0.01,q_0.5,q_0.99
115,Arabidopsis thaliana|1.3.8.4|isovaleryl-CoA,-3.8073622406250003,-6.1889712999999995,-3.75999,-2.0808459000000012
116,Arabidopsis thaliana|1.5.1.2|1-pyrroline-5-carboxylate,-1.800584630303125,-4.011524,-1.76129,-0.017146615000000514
117,Arabidopsis thaliana|1.5.1.2|NADH,-2.3756369169062497,-4.1293387,-2.34504,-0.7979347000000044
118,Arabidopsis thaliana|1.5.1.2|NADPH,-3.89838908125,-5.172748899999999,-3.89662,-2.623780600000001
119,"Arabidopsis thaliana|1.5.1.20|5,10-methylenetetrahydrofolate",-2.0172699361781254,-3.9154284,-2.00496,-0.22354151000000183
120,Arabidopsis thaliana|1.5.1.20|NADH,-2.2698785237187504,-4.2529497,-2.256815,-0.4250007600000009
121,Arabidopsis thaliana|1.5.1.20|NADPH,-3.9456328593750003,-5.026756,-3.9538650000000004,-2.7582203000000014
122,Arabidopsis thaliana|1.5.1.9|NAD+,-1.248966613640625,-2.8454504,-1.2228400000000001,0.17767665999999543
123,Arabidopsis thaliana|1.5.1.9|saccharopine,-2.1595061407499996,-3.9812735000000004,-2.24012,0.30687966999999294
124,Arabidopsis thaliana|1.5.3.13|N1-acetylspermine,-4.9756927809375,-7.0248953,-4.9857499999999995,-2.859975500000001
125,Arabidopsis thaliana|1.5.3.16|O2,-4.793290971249999,-7.0741098,-4.876215,-1.7701041000000035
126,Arabidopsis thaliana|1.5.3.16|norspermine,-0.5317081693234376,-2.8243809,-0.5244875,1.6652371999999986
127,Arabidopsis thaliana|1.5.3.16|spermine,-2.2154445003125,-3.1453152,-2.2147750000000004,-1.3069032000000012
128,Arabidopsis thaliana|1.5.3.16|thermospermine,-2.553391379828125,-5.2277602,-2.88643,1.7411533999999995
129,Arabidopsis thaliana|1.5.3.17|N1-acetylspermidine,-2.02000389591875,-5.3547571,-1.9061949999999999,0.37273453999999895
130,Arabidopsis thaliana|1.5.3.17|N1-acetylspermine,-1.4322519807124998,-3.1985988,-1.38857,-0.03791824900000385
131,Arabidopsis thaliana|1.5.3.17|O2,-3.7588141812187503,-5.9309428,-3.880815,-0.9730913700000022
132,Arabidopsis thaliana|1.5.3.17|spermidine,-1.5493572968437501,-2.7415793,-1.555765,-0.3388919500000024
133,Arabidopsis thaliana|1.5.3.17|spermine,-1.6728300468437498,-3.1422901,-1.6309900000000002,-0.45817035000000494
134,Arabidopsis thaliana|1.5.3.17|thermospermine,-3.6430017312499996,-5.1877261,-3.618995,-2.270104700000002
135,Arabidopsis thaliana|1.5.99.12|N6-(2-isopentenyl)adenine,-6.117066534375,-8.10967,-6.17549,-3.7354087000000082
136,Arabidopsis thaliana|1.5.99.12|N6-dimethylallyladenine,-3.8069656731249997,-5.974704,-3.793445,-1.5132232000000039
137,Arabidopsis thaliana|1.5.99.12|trans-zeatin,-3.9662006443749998,-6.0336397,-3.97703,-1.7879392000000072
138,Arabidopsis thaliana|1.6.2.4|NADPH,-5.906695975,-6.9969966999999995,-5.914960000000001,-4.7397033
139,Arabidopsis thaliana|1.6.5.4|monodehydroascorbate,-4.9474548303125,-6.8007759000000005,-5.034905,-2.4666735000000046
140,Arabidopsis thaliana|1.7.1.1|NADH,-4.749030415625,-6.0678016,-4.76982,-3.2337867000000013
141,Arabidopsis thaliana|1.7.1.1|nitrate,-2.5454797726250002,-4.4198786000000005,-2.532535,-0.7324662000000004
142,Arabidopsis thaliana|1.8.1.7|NADPH,-4.961290984375,-5.9582095,-4.952695,-3.927542800000001
143,Arabidopsis thaliana|1.8.1.7|glutathione disulfide,-2.387284265125,-4.222569399999999,-2.41226,-0.5049729400000028
144,Arabidopsis thaliana|1.8.1.9|thioredoxin,-5.901510040625001,-7.6250112,-5.981055,-3.5736645000000005
145,Arabidopsis thaliana|1.8.3.1|sulfite,-3.446087225,-4.3820354,-3.45101,-2.442362600000002
146,"Arabidopsis thaliana|1.8.3.5|S-(2E,6E)-farnesyl-L-cysteine",-3.0245657466249996,-5.5285483,-3.028335,-0.5740355500000054
147,"Arabidopsis thaliana|1.8.3.6|S-(2E,6E)-farnesyl-L-cysteine",-3.03138514625,-5.7410909,-3.040555,-0.3271001100000012
148,Arabidopsis thaliana|1.8.4.12|L-methionine-(R)-S-oxide,-1.8971858521562501,-3.9499695999999997,-1.9815649999999998,0.7419432499999999
149,Arabidopsis thaliana|1.8.4.9|glutathione,-0.28915964283968754,-2.4659367000000003,-0.248668,1.5396564999999993
150,Arabidopsis thaliana|1.8.98.2|peroxiredoxin-(S-hydroxy-S-oxocysteine),-2.924270411940624,-5.6749458,-2.93485,0.08200130599999478
151,Arabidopsis thaliana|2.1.1.10|L-homocysteine,-3.04998531884375,-4.5156952,-3.064725,-1.3916782000000008
152,Arabidopsis thaliana|2.1.1.10|S-adenosyl-L-methionine,-1.235088038384375,-3.0541053,-1.176405,0.23353643999999882
153,Arabidopsis thaliana|2.1.1.10|S-methyl-L-methionine,-2.426395996,-4.3710454,-2.4361699999999997,-0.4472341900000016
154,Arabidopsis thaliana|2.1.1.103|Ethanolamine phosphate,-1.7603509632178125,-4.435653100000001,-1.692785,0.29473069999999923
155,Arabidopsis thaliana|2.1.1.103|S-adenosyl-L-methionine,-1.802922548234375,-3.8858396,-1.8195000000000001,0.19556258999999787
156,Arabidopsis thaliana|2.1.1.141|S-adenosyl-L-methionine,-4.118688603,-6.3942401,-4.287,-0.7134610600000005
157,Arabidopsis thaliana|2.1.1.141|jasmonate,-3.1005627997812497,-5.629557,-3.1366899999999998,-0.2773195000000017
158,Arabidopsis thaliana|2.1.1.142|Cycloartenol,-3.33473557625,-5.5204413,-3.324235,-1.3242203000000026
159,Arabidopsis thaliana|2.1.1.142|Zymosterol,-3.4696676083750004,-5.7647680999999995,-3.497485,-1.1103692000000138
160,Arabidopsis thaliana|2.1.1.143|24-methylenelophenol,-4.358231289,-6.5702066,-4.50066,-1.2848271000000042
161,Arabidopsis thaliana|2.1.1.240|trans-resveratrol,-2.92295204421875,-5.8319269,-2.96368,-0.027342876000004412
162,Arabidopsis thaliana|2.1.1.273|S-adenosyl-L-methionine,-2.67906712318125,-5.0229091,-2.67313,-0.47633825000000074
163,Arabidopsis thaliana|2.1.1.274|S-adenosyl-L-methionine,-2.6777757077499995,-5.0520059999999996,-2.6760099999999998,-0.1502485600000054
164,Arabidopsis thaliana|2.1.1.275|gibberellin a9,-4.1208416720625,-6.8283616,-4.120430000000001,-1.3454693000000024
165,Arabidopsis thaliana|2.1.1.276|gibberellin a4,-4.56913847728125,-7.1240132,-4.704985000000001,-0.7037452900000001
166,Arabidopsis thaliana|2.1.1.278|(indol-3-yl)acetate,-3.62727013186875,-6.0843753,-3.75945,0.16596502999997992
